Item,Trial Type,Max Time,Post 1 Trial Type,Post 1 Max Time,Procedure Notes,Shuffle 1
2,Study,Computer,Test,Computer,study trials,#anything
3,Study,Computer,Test,Computer,study trials,#anything
4,Study,Computer,Test,Computer,study trials,#anything
5,Study,Computer,Test,Computer,study trials,#anything
6,Study,Computer,Test,Computer,study trials,#anything
7,Study,Computer,Test,Computer,study trials,#anything
8,Study,Computer,Test,Computer,study trials,#anything
9,Study,Computer,Test,Computer,study trials,#anything
10,Study,Computer,Test,Computer,study trials,#anything
11,Study,Computer,Test,Computer,study trials,#anything
12,Study,Computer,Test,Computer,study trials,#anything
13,Study,Computer,Test,Computer,study trials,#anything
14,Study,Computer,Test,Computer,study trials,#anything
15,Study,Computer,Test,Computer,study trials,#anything
16,Study,Computer,Test,Computer,study trials,#anything
17,Study,Computer,Test,Computer,study trials,#anything
18,Study,Computer,Test,Computer,study trials,#anything
19,Study,Computer,Test,Computer,study trials,#anything
20,Study,Computer,Test,Computer,study trials,#anything
