Item,Trial Type,Max Time,Procedure Notes,Shuffle 1
2,WordPair,Computer,study trials,#
3,WordPair,Computer,study trials,#
4,WordPair,Computer,study trials,#
5,WordPair,Computer,study trials,#
6,WordPair,Computer,study trials,#
7,WordPair,Computer,study trials,#
8,WordPair,Computer,study trials,#
9,WordPair,Computer,study trials,#
10,WordPair,Computer,study trials,#
11,WordPair,Computer,study trials,#
12,WordPair,Computer,study trials,#
13,WordPair,Computer,study trials,#
14,WordPair,Computer,study trials,#
15,WordPair,Computer,study trials,#
16,WordPair,Computer,study trials,#
17,WordPair,Computer,study trials,#
18,WordPair,Computer,study trials,#
19,WordPair,Computer,study trials,#
20,WordPair,Computer,study trials,#
